Phase,Matches,HomePPG,AwayPPG,Delta
Pre-Covid,531,1.5499058380414312,1.1487758945386064,0.4011299435028248
GhostGames_2019_20,72,1.6666666666666667,1.0,0.6666666666666667
GhostGames_2020_21,297,1.5824915824915824,1.1784511784511784,0.404040404040404
PartialFans_2021_22,279,1.4587813620071686,1.2544802867383513,0.20430107526881724
Post-Covid,918,1.5773420479302833,1.1721132897603486,0.40522875816993476
