Phase,HomePPG,AwayPPG,DeltaPPG,GoalDiff,n,Delta_mean,CI_low,CI_high
GhostGames_2019_20,1.4107142857142858,1.3214285714285714,0.08928571428571429,0.07142857142857142,168,0.08928571428571429,-0.29980077806666,0.4783722066380886
GhostGames_2020_21,1.4526255707762556,1.2899543378995433,0.16267123287671234,0.1552511415525114,1752,0.16267123287671234,0.04182409255587122,0.28351837319755346
PartialFans_2021_22,1.5511720983419097,1.1926815323041737,0.3584905660377358,0.2950257289879931,1749,0.3584905660377358,0.238365581379297,0.4786155506961747
Post-Covid,1.5611632270168856,1.1868667917448406,0.37429643527204504,0.274671669793621,5330,0.37429643527204504,0.30536147851852014,0.44323139202556994
Pre-Covid,1.5981546293350302,1.1485841552656697,0.44957047406936046,0.33662106267896913,3143,0.44957047406936046,0.3602974972689009,0.53884345086982
