contrast,mean_diff,t,p_two,n_a,n_b,p_two_holm
GhostGames_2019_20 - Pre-Covid,-0.36028475978364616,-1.7689155427286307,0.07690796998726457,168,3143,0.3817198217353175
GhostGames_2020_21 - Pre-Covid,-0.2868992411926481,-3.7426236477702925,0.00018210887359826344,1752,3143,0.3817198217353175
PartialFans_2021_22 - Pre-Covid,-0.09107990803162463,-1.1927510375291528,0.2329668908381195,1749,3143,0.2329668908381195
Post-Covid - Pre-Covid,-0.07527403879731542,-1.3080395033640446,0.19085991086765874,5330,3143,0.3817198217353175
