Country,League,HomePPG,AwayPPG,DeltaPPG,GoalDiffMean,n,Delta_mean,Delta_CI_low,Delta_CI_high
England,Premier League,1.5490636704119851,1.2265917602996255,0.32247191011235954,0.24044943820224718,2670,0.32247191011235954,0.22293881957831632,0.4220050006464028
France,Ligue 1,1.5446076675026872,1.2017198136868505,0.34288785381583664,0.26907918308849876,2791,0.34288785381583664,0.24752354895453454,0.43825215867713874
Germany,Bundesliga,1.559640522875817,1.1907679738562091,0.36887254901960786,0.3386437908496732,2448,0.36887254901960786,0.26689688493963004,0.4708482130995857
Italy,Serie A,1.5055921052631578,1.2342105263157894,0.2713815789473684,0.2131578947368421,3040,0.2713815789473684,0.18011334601932272,0.3626498118754141
Spain,La Liga,1.611842105263158,1.1203947368421052,0.49144736842105263,0.3361842105263158,3040,0.49144736842105263,0.40182939790607924,0.581065338936026
