Country,League,n,ΔP_mean,CI_low,CI_high,t,p_one,p_two,Cohen_d
England,Premier League,2670,0.32247191011235954,0.22293881957831632,0.4220050006464028,6.352862902543479,1.2381834448642187e-10,2.4763668897284374e-10,0.12294584395683986
France,Ligue 1,2791,0.34288785381583664,0.24752354895453454,0.43825215867713874,7.05022197795085,1.1213750368117526e-12,2.242750073623505e-12,0.13345131968371343
Germany,Bundesliga,2448,0.36887254901960786,0.26689688493963004,0.4708482130995857,7.093208943585291,8.54183786613668e-13,1.708367573227336e-12,0.14336298872048048
Italy,Serie A,3040,0.2713815789473684,0.18011334601932272,0.3626498118754141,5.830178032835135,3.059076728476526e-09,6.118153456953052e-09,0.10574139241837496
Spain,La Liga,3040,0.49144736842105263,0.40182939790607924,0.581065338936026,10.75234035561226,8.601156351966573e-27,1.7202312703933146e-26,0.1950141890274033
